,house_name,zone,meters,direction,decora,Elevator,floor,year,floorh,totalPrice,unitPrice
29,仁园 ,2室1厅,64.44平米,南北,简装,无电梯,7,1997,高楼层,160,24830
30,中和园 ,2室2厅,88.81平米,东南,精装,有电梯,18,2008,低楼层,325,36595
31,晔园 ,2室1厅,63.65平米,南北,简装,有电梯,7,1998,中楼层,182,28594
32,思园 ,3室1厅,112.36平米,南北,其他,无电梯,6,2000,中楼层,378,33642
33,拓园 ,1室1厅,43.69平米,南北,简装,无电梯,6,1996,高楼层,130,29756
34,沿河一村49号 ,2室1厅,56.74平米,南北,其他,NA,6,1988,低楼层,159,28023
35,茶亭村 ,3室1厅,69.17平米,南北,毛坯,无电梯,6,NA,中楼层,186,26891
36,金虹花园 ,3室2厅,109.97平米,南北,精装,无电梯,6,2003,高楼层,372,33828
37,万达西地二期 ,2室2厅,79.9平米,南,简装,有电梯,29,2010,高楼层,338,42303
38,苏建豪庭 ,3室2厅,136.4平米,南北,精装,无电梯,6,2005,高楼层,458,33578
39,月安花园揽月居 ,3室2厅,138.06平米,南北,精装,有电梯,12,2005,中楼层,530,38390
40,天顺苑 ,2室2厅,76.86平米,南北,简装,无电梯,6,2000,中楼层,263,34219
41,万达西地一期 ,2室2厅,80.86平米,南,精装,NA,28,2009,低楼层,345,42667
42,白鹭花园凤栖苑 ,2室1厅,51.99平米,南北,精装,无电梯,7,1998,中楼层,173,33276
43,金基汇锦国际 ,2室2厅,50.3平米,南北,精装,有电梯,12,2009,低楼层,277,55070
44,莫愁湖东路 ,3室1厅,72.91平米,南北,简装,无电梯,7,1993,高楼层,192,26334
45,吉庆家园逢春苑 ,3室2厅,122.96平米,南北,精装,无电梯,6,2001,中楼层,420,34158
46,莫愁新村 ,2室1厅,52.58平米,南北,简装,无电梯,7,1993,高楼层,140,26627
47,爱达花园兰花园 ,2室1厅,63.76平米,南北,精装,无电梯,7,1995,低楼层,180,28231
48,积善新寓丰勤园 ,1室1厅,52.77平米,南北,简装,无电梯,7,2003,高楼层,185,35058
49,东渡新锐大厦 ,2室2厅,56.31平米,南,精装,有电梯,22,2005,高楼层,309,54875
50,金基汇锦国际 ,3室2厅,62.98平米,南北,精装,有电梯,12,2009,中楼层,360,57162
51,腾达雅苑 ,4室3厅,147.02平米,南北,简装,无电梯,6,2002,高楼层,390,26528
52,育英村 ,2室1厅,57.92平米,南北,精装,NA,6,1985,高楼层,160,27625
53,滨江奥城观澜苑 ,3室2厅,151.48平米,南北,精装,有电梯,19,2008,低楼层,520,34328
54,怡康新寓 ,2室1厅,61.3平米,南,精装,无电梯,6,2001,高楼层,210,34258
55,新禧家园 ,4室1厅,116.17平米,南西北,精装,NA,7,2001,中楼层,362,31162
56,腾达雅苑 ,5室3厅,151.86平米,南北,精装,无电梯,6,2002,高楼层,428,28184
57,怡康新寓 ,5室2厅,149.16平米,南北,简装,无电梯,6,2004,高楼层,390,26147
58,融侨中央花园2期 ,2室2厅,90.79平米,南,精装,有电梯,16,2008,低楼层,385,42406
59,真园 ,2室1厅,60.51平米,南,简装,无电梯,7,1996,中楼层,178,29417
60,长虹路后街 ,3室1厅,61.95平米,南北,精装,无电梯,6,1994,高楼层,155,25021
61,兴达新寓一村 ,3室1厅,91.16平米,南北,简装,无电梯,7,1999,低楼层,265,29070
62,长虹路后街 ,3室1厅,66.73平米,南北,简装,无电梯,6,1993,低楼层,187,28024
63,嘉业阳光城天景苑一期 ,3室2厅,137.32平米,东南南,精装,有电梯,18,2009,低楼层,570,41509
64,东升村 ,3室1厅,69.4平米,南北,精装,有电梯,7,1991,高楼层,165,23776
65,滨江奥城静思苑 ,2室1厅,93.66平米,南北,精装,有电梯,18,2006,中楼层,388,41427
66,腾达雅苑 ,5室2厅,175.75平米,南,简装,无电梯,6,2002,高楼层,450,25605
67,苏建豪庭 ,2室2厅,97.68平米,南北,简装,无电梯,6,2005,中楼层,380,38903
68,香缇丽舍 ,2室2厅,91.92平米,南,精装,有电梯,22,2004,中楼层,320,34813
69,水西门大街87号 ,2室2厅,72.05平米,南,简装,有电梯,24,1999,低楼层,198,27481
70,中海塞纳丽舍东苑 ,3室2厅,134.5平米,南北,精装,有电梯,11,2007,高楼层,678,50409
71,中和园 ,3室2厅,88.26平米,南,简装,有电梯,11,2008,高楼层,326,36937
72,拓园 ,3室1厅,73.5平米,南北,精装,有电梯,7,1996,高楼层,195,26531
73,安泰村 ,3室1厅,98.9平米,南北,精装,无电梯,6,1996,低楼层,288,29121
74,兴隆新寓兴宏园 ,2室1厅,56.32平米,南,精装,无电梯,6,2000,高楼层,220,39063
75,水西门大街153号 ,2室1厅,63.63平米,南北,简装,无电梯,8,1999,中楼层,156,24517
76,润花园 ,2室2厅,86.09平米,南北,其他,有电梯,11,2006,中楼层,375,43560
77,庆园 ,5室3厅,202.82平米,南北,精装,无电梯,6,2004,高楼层,485,23913
78,莫愁东寓 ,2室1厅,61.25平米,东西,简装,无电梯,7,1997,中楼层,150,24490
79,银河湾福苑 ,1室1厅,51.09平米,东,简装,有电梯,11,2009,高楼层,210,41104
80,文体西村 ,2室1厅,53.65平米,南,简装,NA,7,1985,中楼层,160,29823
81,东渡新锐大厦 ,2室2厅,56.31平米,南,精装,有电梯,22,2005,高楼层,270,47949
82,仁园 ,3室1厅,72.54平米,南,简装,无电梯,6,1993,高楼层,192,26469
83,滨江奥城静思苑 ,3室2厅,133.14平米,南北,简装,有电梯,10,2006,低楼层,560,42061
84,仁园 ,2室1厅,59.34平米,东北,毛坯,无电梯,6,1993,中楼层,160,26964
85,积善新寓丰勤园 ,4室2厅,148.96平米,南,精装,无电梯,7,2003,高楼层,420,28196
86,积善新寓睦和园 ,3室1厅,95.41平米,南,简装,无电梯,7,2003,低楼层,320,33540
87,玉塘村南 ,3室1厅,56.92平米,南北,精装,无电梯,5,1988,低楼层,188,33029
88,金马郦城 ,2室1厅,84.74平米,南,精装,无电梯,4,2006,中楼层,370,43663
89,仁园 ,3室1厅,59.76平米,南北,精装,无电梯,6,1993,低楼层,198,33133
90,中和园 ,2室1厅,84.97平米,东北,简装,有电梯,18,2008,中楼层,285,33542
91,融侨中央花园1期 ,2室1厅,92.74平米,南,精装,有电梯,18,2009,低楼层,410,44210
92,明园 ,2室1厅,50.19平米,南北,精装,无电梯,6,1996,中楼层,158,31481
93,金贸新村 ,2室1厅,90.22平米,南北,精装,有电梯,7,1996,中楼层,287,31812
94,滨江奥城听雨苑 ,2室2厅,107.18平米,南北,简装,有电梯,10,2005,低楼层,440,41053
95,莫愁新村 ,3室1厅,71.62平米,南北,简装,无电梯,6,1993,高楼层,178,24854
96,舒心苑 ,4室2厅,160.78平米,南北,简装,有电梯,9,2003,中楼层,485,30166
97,彩虹苑 ,2室2厅,90.19平米,南北,简装,无电梯,7,2000,高楼层,268,29716
98,安如村 ,2室1厅,62.05平米,东南,简装,无电梯,7,1997,高楼层,162,26108
99,长虹路203号 ,3室1厅,65.64平米,南,简装,有电梯,7,1994,低楼层,195,29708
100,金地名京 ,3室2厅,87.68平米,南,简装,有电梯,11,2010,低楼层,438,49955
101,金基汇锦国际 ,2室2厅,50.04平米,南,简装,有电梯,12,2009,低楼层,270,53957
102,滨江奥城观澜苑 ,2室2厅,106.73平米,南北,简装,有电梯,11,2008,中楼层,419,39258
103,金地名京 ,2室2厅,87.68平米,南北,精装,有电梯,11,2010,中楼层,430,49042
104,嘉业阳光城天景苑一期 ,3室2厅,138.76平米,南北,毛坯,有电梯,16,2009,中楼层,571,41151
105,迎宾村 ,2室1厅,63.51平米,南北,毛坯,无电梯,6,1985,低楼层,185,29130
106,兴隆大街纺织公寓 ,3室1厅,80.59平米,南,简装,无电梯,6,1998,低楼层,280,34744
107,万科光明城市西苑 ,3室2厅,129.86平米,南,精装,有电梯,11,2008,低楼层,720,55445
108,典雅居 ,3室2厅,115.35平米,南北,精装,有电梯,11,2000,中楼层,415,35978
109,铂金时代公寓 ,3室2厅,146.04平米,南北,精装,有电梯,23,2010,中楼层,520,35607
110,水西门大街133号 ,2室2厅,65.93平米,南北,精装,无电梯,7,1996,高楼层,184,27909
111,品阁公寓 ,2室2厅,98.54平米,南北,精装,NA,11,NA,低楼层,348,35316
112,康福村 ,2室1厅,53.83平米,东北,简装,NA,7,1986,高楼层,135,25079
113,佳和园 ,2室1厅,65.85平米,南,简装,有电梯,33,2009,低楼层,266,40395
114,虹苑新寓五村 ,2室1厅,62.36平米,南北,简装,无电梯,7,1998,中楼层,205,32874
115,湖心花园 ,3室1厅,94.75平米,南北,简装,无电梯,7,1999,高楼层,299,31557
116,安泰村 ,2室2厅,76.35平米,南北,简装,无电梯,6,1996,高楼层,229,29994
117,桃园居 ,2室1厅,64.27平米,南北,简装,无电梯,6,2000,高楼层,218,33920
118,南湖春晓嘉怡苑 ,3室2厅,130.77平米,南北,简装,无电梯,7,2002,中楼层,420,32118
119,兴达新寓二村 ,3室2厅,119.71平米,南,简装,无电梯,6,1999,低楼层,385,32162
120,茶花里 ,2室2厅,71.44平米,南北,简装,无电梯,7,1996,中楼层,208,29116
121,湖心花园 ,3室1厅,94.75平米,南北,简装,无电梯,7,1999,高楼层,299,31557
122,安泰村 ,2室2厅,76.35平米,南北,简装,无电梯,6,1996,高楼层,229,29994
123,梅花里 ,2室1厅,65.48平米,南北,精装,NA,6,1988,高楼层,175,26726
124,万科光明城市西苑 ,1室1厅,55.81平米,南北,精装,有电梯,16,2008,低楼层,290,51963
125,宇园 ,2室1厅,61.85平米,南北,精装,无电梯,6,1994,高楼层,173,27971
126,凤鸣苑 ,1室1厅,42.42平米,南北,毛坯,无电梯,7,1998,低楼层,136,32061
127,银轮花园 ,2室1厅,62.78平米,南北,其他,无电梯,6,2000,中楼层,240,38229
128,贡园 ,2室2厅,43.53平米,南北,简装,无电梯,6,1998,高楼层,145,33311
129,爱达花园兰花园 ,2室1厅,66.11平米,南北,简装,无电梯,7,1995,低楼层,185,27984
130,天正滨江花园 ,4室2厅,237.5平米,东西,毛坯,有电梯,18,2012,低楼层,830,34948
131,白鹭花园凤栖苑 ,3室1厅,79.51平米,西,精装,无电梯,7,1998,中楼层,253,31820
132,万达东坊 ,3室2厅,137.24平米,南北,精装,有电梯,16,2009,低楼层,548,39931
133,福园 ,2室2厅,76.63平米,南北,精装,NA,7,NA,未知楼,220,28710
134,金地名京 ,2室2厅,88.15平米,南北,精装,有电梯,11,2010,中楼层,460,52184
135,铂金时代公寓 ,4室1厅,138.68平米,南,简装,有电梯,23,2010,中楼层,490,35334
136,星雨华府 ,3室2厅,136.15平米,南北,精装,有电梯,25,2009,中楼层,700,51414
137,金基汇锦国际 ,3室2厅,133.22平米,南,简装,有电梯,20,2009,高楼层,580,43538
138,融侨中央花园1期 ,2室1厅,87.93平米,南北,精装,有电梯,18,2009,高楼层,422,47993
139,虹苑新寓三村 ,2室2厅,64.77平米,南北,精装,无电梯,6,1996,高楼层,195,30107
140,腾达雅苑 ,2室2厅,91平米,南北,精装,无电梯,6,2002,高楼层,298,32748
141,康怡花园 ,2室1厅,62.8平米,东南北,简装,无电梯,7,1997,中楼层,200,31848
142,莫愁湖东路 ,2室1厅,51.34平米,南北,简装,无电梯,6,1994,高楼层,135,26296
143,月安花园揽月居 ,3室2厅,135.88平米,南北,精装,无电梯,6,2005,低楼层,520,38270
144,新百花园 ,3室2厅,146.29平米,南北,简装,有电梯,19,2006,低楼层,480,32812
145,叠彩丽庭 ,2室2厅,88.22平米,南北,精装,NA,6,2002,中楼层,350,39674
146,新百花园 ,3室1厅,90.5平米,南北,简装,无电梯,7,2001,高楼层,320,35360
147,滨江奥城静思苑 ,3室2厅,133.32平米,南北,精装,有电梯,10,2006,中楼层,550,41255
148,虹苑新寓二村 ,2室1厅,59.49平米,南北,简装,无电梯,6,1996,高楼层,175,29417
149,万达东坊 ,2室1厅,91.35平米,南,简装,有电梯,8,2009,低楼层,350,38315
150,中泰国际广场 ,3室2厅,138.96平米,南,精装,有电梯,28,2006,高楼层,638,45913
151,茶亭村 ,2室1厅,53.53平米,东南南,其他,无电梯,6,1985,低楼层,145,27088
152,汉中门大街 ,2室1厅,51.22平米,东南北,简装,无电梯,4,1995,中楼层,135,26357
153,金地名京 ,2室1厅,62.21平米,东,其他,有电梯,17,2010,低楼层,295,47421
154,湖心花园 ,3室1厅,76.11平米,南北,简装,无电梯,7,1999,低楼层,298,39154
155,彩虹苑 ,3室2厅,90.19平米,南北,简装,无电梯,7,2000,高楼层,290,32155
156,南湖东路40-46号 ,3室1厅,79.34平米,东南,简装,NA,7,1989,高楼层,189,23822
157,中和园 ,3室2厅,88.51平米,南北,简装,有电梯,11,2008,低楼层,415,46888
158,万达西地一期 ,2室2厅,80.85平米,南,精装,有电梯,28,2009,高楼层,370,45764
159,万和源居 ,3室2厅,122.48平米,南北,精装,有电梯,26,2003,中楼层,490,40007
160,艺苑村 ,2室1厅,58.77平米,南,精装,有电梯,5,1985,中楼层,162,27566
161,天正滨江花园 ,4室2厅,260.9平米,南北,毛坯,有电梯,18,2012,中楼层,1250,47912
162,典雅居 ,3室2厅,92.32平米,南北,简装,无电梯,6,2000,中楼层,340,36829
163,拓园 ,3室1厅,75.33平米,南北,精装,NA,6,1996,高楼层,206,27347
164,云锦美地合锦苑 ,2室2厅,93.12平米,南北,精装,无电梯,6,2006,低楼层,365,39197
165,晔园 ,2室1厅,63.79平米,南,其他,有电梯,7,1998,中楼层,175,27434
166,白鹭花园凤栖苑 ,2室1厅,51.57平米,东西,精装,无电梯,7,1998,中楼层,170,32965
167,湖心花园 ,2室1厅,79.41平米,南北,精装,无电梯,7,1999,高楼层,262,32994
168,万达西地一期 ,3室2厅,124.37平米,南北,精装,有电梯,28,2009,高楼层,500,40203
169,澄园 ,2室2厅,77.67平米,南北,其他,无电梯,7,2000,中楼层,258,33218
170,嘉业国际城 ,1室1厅,59.72平米,西,精装,有电梯,27,2008,低楼层,235,39351
171,沿河三村 ,3室1厅,61.43平米,南北,简装,无电梯,6,1990,高楼层,168,27349
172,澄园 ,3室2厅,77.53平米,南,精装,无电梯,7,2000,高楼层,298,38437
173,朗诗国际街区中园 ,3室2厅,141.34平米,东南,精装,有电梯,7,2007,中楼层,666,47121
174,吉庆家园金秋苑 ,3室2厅,125.47平米,南北,精装,无电梯,6,2003,低楼层,450,35866
175,嘉业国际城 ,2室2厅,100.41平米,东南,精装,有电梯,27,2008,高楼层,400,39837
176,苏建豪庭 ,2室2厅,91.68平米,南北,简装,NA,6,2005,中楼层,355,38722
177,兆园 ,1室1厅,39.5平米,南,其他,有电梯,7,1995,中楼层,118,29874
178,香缇丽舍 ,3室2厅,133.62平米,南北,简装,有电梯,22,2004,中楼层,410,30685
179,金基汇锦国际 ,3室2厅,133.22平米,南北,精装,有电梯,19,2009,高楼层,580,43538
180,金虹花园 ,2室2厅,90.32平米,南西北,其他,NA,6,2003,中楼层,300,33216
181,中海塞纳丽舍西苑 ,2室2厅,91.94平米,南,其他,有电梯,11,2005,低楼层,436,47423
182,星雨华府 ,3室2厅,129.73平米,南,精装,有电梯,25,2008,高楼层,590,45480
183,康怡花园 ,2室1厅,64.08平米,南,简装,无电梯,7,1997,中楼层,185,28871
184,名湖雅居 ,3室2厅,138.04平米,南北,精装,NA,23,2005,低楼层,600,43466
185,虹苑新寓一村 ,2室1厅,62.62平米,南北,精装,无电梯,8,1996,中楼层,180,28745
186,银城西堤国际二区 ,3室2厅,127.59平米,西南北,精装,有电梯,11,2008,低楼层,618,48437
187,白鹭花园莺歌苑 ,2室1厅,63.6平米,东西,简装,无电梯,7,2000,中楼层,207,32548
188,吉庆家园逢春苑 ,6室2厅,126.12平米,南北,简装,无电梯,6,2001,高楼层,420,33302
189,开园 ,2室1厅,64.82平米,南北,简装,NA,7,1998,高楼层,168,25918
190,融侨中央花园1期 ,2室2厅,92.92平米,南,精装,有电梯,18,2009,中楼层,415,44663
191,紫金西区中央 ,2室2厅,91.46平米,南,精装,有电梯,20,2006,高楼层,320,34988
192,华润悦府 ,4室2厅,243.72平米,南北,其他,有电梯,29,2014,中楼层,1350,55392
193,仁恒国际公寓 ,3室2厅,243.26平米,南,精装,有电梯,44,2006,高楼层,1060,43575
194,云河湾 ,4室2厅,126.5平米,南北,简装,有电梯,18,2005,高楼层,500,39526
195,天正滨江花园 ,5室2厅,237.35平米,东西,毛坯,有电梯,18,2012,高楼层,900,37919
196,仁恒G53 ,1室2厅,77.02平米,南北,其他,有电梯,18,2012,中楼层,375,48689
197,万达华府东苑 ,3室2厅,104.53平米,南北,其他,有电梯,11,2003,低楼层,530,50704
198,碧瑶花园二期 ,2室2厅,108.57平米,南北,精装,无电梯,5,2010,中楼层,550,50659
199,奥体新城清竹园 ,3室2厅,112.63平米,南北,精装,无电梯,5,2005,低楼层,538,47768
200,东升村 ,3室1厅,79.3平米,南北,简装,无电梯,6,1991,中楼层,222,27995
201,云锦美地碧云居 ,3室2厅,133.03平米,南北,精装,有电梯,11,2005,中楼层,550,41345
202,香缇丽舍 ,3室2厅,101.11平米,南北,精装,有电梯,16,2004,低楼层,340,33627
203,汉中门大街3号 ,2室2厅,102.76平米,南北,精装,有电梯,7,1996,中楼层,310,30168
204,奥体新城翠杉园 ,3室2厅,113.06平米,南北,精装,无电梯,5,2007,中楼层,560,49532
205,虹苑新寓三村 ,2室1厅,64.57平米,南北,简装,NA,7,1996,低楼层,205,31749
206,金陵世家 ,3室2厅,113.94平米,南北,简装,无电梯,6,2001,中楼层,405,35546
207,万达东坊 ,3室2厅,127.11平米,南北,精装,有电梯,16,2009,中楼层,520,40910
208,德盈大厦 ,2室2厅,58.66平米,北,其他,有电梯,21,2006,中楼层,252,42960
209,虹苑新寓四村 ,2室1厅,61.33平米,南,简装,无电梯,7,1998,中楼层,208,33915
210,健园 ,2室1厅,50.25平米,南北,精装,无电梯,7,1996,高楼层,138,27463
211,虹苑新寓四村 ,2室1厅,61.33平米,南,简装,无电梯,7,1998,中楼层,208,33915
212,城西纺织公寓 ,2室1厅,73.29平米,南,简装,NA,7,1999,高楼层,215,29336
213,今日家园丹桂居 ,2室2厅,66.62平米,南北,简装,无电梯,6,2001,高楼层,205,30772
214,奥体新城清竹园 ,5室3厅,197.56平米,南北,简装,有电梯,11,2005,高楼层,850,43025
215,莫愁花园芙蓉里 ,2室1厅,76.48平米,南北,精装,无电梯,6,1997,高楼层,228,29812
216,宏普捷座 ,1室1厅,41.55平米,西,简装,NA,20,2009,高楼层,200,48135
217,拓园 ,1室1厅,39.82平米,南,简装,NA,6,1996,高楼层,115,28880
218,金马郦城 ,2室2厅,90.9平米,南,精装,无电梯,5,2005,中楼层,418,45985
219,长虹路29号 ,2室1厅,50.29平米,东南,精装,有电梯,7,1983,中楼层,142,28237
220,桃园居 ,3室1厅,80.26平米,南北,精装,无电梯,6,2000,高楼层,300,37379
221,长虹路249号 ,3室1厅,64.04平米,南北,其他,无电梯,5,1983,低楼层,195,30450
222,银河湾福苑 ,1室1厅,51.06平米,东,简装,有电梯,11,2009,低楼层,186,36428
223,露园 ,2室1厅,69.92平米,南北,简装,无电梯,6,2000,低楼层,360,51488
224,银城西堤国际二区 ,3室2厅,160.81平米,南,精装,有电梯,11,2008,高楼层,770,47883
225,白鹭花园凤栖苑 ,3室1厅,79.6平米,南北,简装,无电梯,7,1998,中楼层,238,29900
226,兆园 ,3室1厅,62.75平米,南北,简装,NA,6,1992,高楼层,176,28048
227,吉庆家园逢春苑 ,2室2厅,86.46平米,南西北,其他,无电梯,6,2001,低楼层,265,30651
228,中北品尚 ,2室2厅,84.32平米,南北,其他,NA,17,2011,中楼层,400,47439
229,香缇丽舍 ,2室2厅,90.26平米,南北,精装,有电梯,18,2004,中楼层,315,34900
230,万达西地一期 ,2室2厅,74.85平米,南,精装,有电梯,29,2009,低楼层,320,42753
231,云锦美地碧云居 ,3室2厅,118.03平米,南北,精装,有电梯,10,2007,中楼层,425,36008
232,庆园 ,3室2厅,115.2平米,南北,其他,NA,6,2004,低楼层,410,35591
233,银城西堤国际一区 ,3室1厅,131.37平米,南,其他,有电梯,18,2006,中楼层,650,49479
234,金虹花园 ,2室2厅,92.05平米,南北,其他,无电梯,6,2003,低楼层,338,36720
235,安泰村 ,3室1厅,98.45平米,南北,简装,无电梯,6,1996,中楼层,285,28949
236,话园 ,2室2厅,82.97平米,南北,其他,NA,9,1994,高楼层,240,28927
237,名仕嘉园 ,1室1厅,36.61平米,北,其他,有电梯,20,2005,中楼层,118,32232
238,拉德芳斯 ,1室2厅,70.32平米,南,精装,有电梯,18,2007,高楼层,350,49773
239,白鹭花园凤栖苑 ,2室1厅,53.4平米,南北,简装,无电梯,7,1998,高楼层,157,29401
240,茶花里 ,2室1厅,58.58平米,南北,其他,无电梯,5,1988,中楼层,170,29021
241,金陵世家 ,5室2厅,164.6平米,南,简装,NA,6,2003,低楼层,450,27340
242,金马郦城 ,3室2厅,129.38平米,南,精装,NA,9,2006,中楼层,560,43284
243,万达华府东苑 ,3室2厅,101.18平米,南北,精装,NA,11,2003,高楼层,580,57324
244,尚文西苑 ,2室2厅,100.81平米,南北,精装,NA,6,NA,高楼层,365,36207
245,云河湾 ,3室2厅,125.34平米,南北,简装,有电梯,18,2006,高楼层,490,39094
246,开园 ,3室2厅,87平米,南北,精装,NA,7,1998,高楼层,235,27012
247,爱达花园兰花园 ,2室1厅,63.96平米,南北,简装,无电梯,7,1995,高楼层,160,25016
248,宏普捷座 ,1室1厅,47.45平米,南西北,精装,有电梯,20,2009,高楼层,240,50580
249,保利香槟国际 ,3室2厅,117.35平米,南,精装,有电梯,19,2013,低楼层,620,52834
250,欧洲城凯旋丽都花园 ,3室2厅,141.69平米,南北,其他,有电梯,18,2005,低楼层,550,38818
251,凤凰和熙一期 ,2室2厅,86.48平米,南,简装,有电梯,18,2009,低楼层,420,48567
252,融侨中央花园3期 ,5室2厅,207.82平米,南北,其他,无电梯,4,2011,高楼层,970,46676
253,腾达雅苑 ,3室1厅,95.66平米,南北,简装,NA,6,2002,高楼层,325,33975
254,仁园 ,3室1厅,75.51平米,南北,其他,无电梯,6,1993,中楼层,240,31784
255,嘉业国际城 ,1室1厅,55.97平米,东,精装,有电梯,27,2008,中楼层,222,39665
256,万达东坊 ,2室1厅,72.08平米,南,简装,有电梯,8,2009,中楼层,305,42315
257,东升村 ,3室1厅,85.12平米,南北,简装,NA,6,1991,高楼层,230,27021
258,腾达雅苑 ,4室2厅,131.61平米,南北,简装,无电梯,6,2002,高楼层,365,27734
259,兴达新寓一村 ,3室1厅,69.92平米,南北,简装,NA,7,1999,高楼层,190,27174
260,莫愁家园 ,3室2厅,103.53平米,南北,精装,NA,9,2000,高楼层,370,35739
261,万达华府东苑 ,3室2厅,107.7平米,南北,精装,有电梯,11,2006,中楼层,550,51068
262,苏宁睿城 ,2室2厅,89.43平米,南北,精装,有电梯,33,2012,低楼层,450,50319
263,紫鑫中华广场 ,3室2厅,110.82平米,南北,精装,有电梯,18,2005,中楼层,436,39344
264,苏建艳阳居 ,3室2厅,120.13平米,南北,精装,有电梯,18,2004,低楼层,420,34963
265,安国村 ,2室2厅,60.46平米,南北,简装,无电梯,6,1988,低楼层,165,27291
266,典雅居 ,4室2厅,116平米,南,精装,无电梯,6,2000,中楼层,460,39656
267,莫愁家园 ,4室2厅,154.41平米,南北,简装,NA,6,2000,中楼层,525,34001
268,银轮花园 ,3室3厅,89.41平米,南北,精装,无电梯,7,2000,高楼层,310,34672
269,苏建豪庭 ,6室3厅,198.85平米,南北,精装,有电梯,9,2005,高楼层,780,39226
270,欧洲城凯旋丽都花园 ,5室2厅,172.41平米,南北,精装,有电梯,18,2005,中楼层,680,39441
271,润花园 ,1室1厅,47.58平米,东,精装,有电梯,16,2008,中楼层,179,37726
272,安泰村 ,2室1厅,77.2平米,南北,其他,无电梯,6,1996,高楼层,220,28498
273,朗诗国际街区南园 ,2室2厅,85.57平米,东,精装,有电梯,18,2008,高楼层,440,51420
274,莫园新寓 ,3室1厅,142.09平米,南北,简装,NA,7,1998,中楼层,400,28152
275,苏建艳阳居 ,3室2厅,130.18平米,南北,精装,无电梯,6,2004,低楼层,480,36873
276,万科光明城市西苑 ,2室2厅,92.95平米,南北,精装,有电梯,18,2008,高楼层,460,49489
277,福园 ,4室2厅,88.14平米,南北,简装,无电梯,7,1998,低楼层,310,35172
278,金贸新村 ,2室2厅,79.52平米,南北,精装,无电梯,6,1996,高楼层,245,30810
279,中海塞纳丽舍西苑 ,3室1厅,133.96平米,南北,精装,NA,11,2005,中楼层,678,50613
280,金地名京 ,3室1厅,87.68平米,南北,精装,有电梯,11,2010,高楼层,455,51894
281,金穗花园 ,3室2厅,90.95平米,南北,毛坯,NA,34,2012,高楼层,230,25289
282,万达西地二期 ,2室1厅,82.93平米,南,精装,有电梯,29,2009,中楼层,350,42205
283,拓园 ,2室1厅,51.83平米,南北,简装,无电梯,6,1996,高楼层,152,29327
